Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
powiat;gmina;powierzchnia;gestosc;populacja;0-4;5-9;10-14;15-19;suma_U19;wydatki;przystanki;Średni wynik
powiat suski;Sucha Beskidzka;28;315.6;8837;335;382;454;488;1659;23256031.31;21;57,81250662
powiat suski;gmina Budzów;73;119.5;8724;461;601;535;631;2228;28115967.6;54;56,23038919
powiat suski;gmina Bystra-Sidzina;81;84.8;6869;369;422;425;402;1618;17699486.47;46;63,9525908
powiat suski;gmina Jordanów;92;120.6;11095;564;707;694;685;2650;29950494.07;100;59,97078766
powiat suski;gmina Maków Podhalański;109;144.1;15707;620;828;928;933;3309;36164160.74;23;62,13317128
powiat suski;gmina Stryszawa;114;104.3;11890;528;702;677;645;2552;39407825.56;60;67,14350924
powiat suski;gmina Zawoja;129;68.0;8772;319;487;515;513;1834;20201242.97;74;60,85587542
powiat suski;gmina Zembrzyce;39;137.2;5351;219;291;295;291;1096;14726727.35;20;51,14909782
powiat tarnowski;gmina Ciężkowice;103;106.3;10949;586;678;701;614;2579;29779513.83;40;64,54282606
powiat tarnowski;gmina Gromnik;70;125.5;8785;431;530;580;531;2072;23224116.54;52;55,10388163
powiat tarnowski;gmina Lisia Góra;105;149.7;15718;780;991;1064;963;3798;56778963.96;120;59,61100345
powiat tarnowski;gmina Pleśna;83;141.0;11703;476;651;683;673;2483;36063544.99;16;55,91048643
powiat tarnowski;gmina Radłów;86;108.7;9348;372;479;478;455;1784;24714943.22;42;70,36408398
powiat tarnowski;gmina Ryglice;117;95.1;11127;495;655;656;644;2450;34049452.51;31;64,13257576
powiat tarnowski;gmina Rzepiennik Strzyżewski;71;92.0;6532;289;410;394;365;1458;18059114.32;47;68,01066539
powiat tarnowski;gmina Skrzyszów;86;164.9;14181;666;803;863;812;3144;39759966.85;108;65,73131889
powiat tarnowski;gmina Tarnów;83;320.3;26585;1008;1449;1575;1521;5553;68411154.73;179;62,66713469
powiat tarnowski;gmina Tuchów;100;169.7;16970;708;891;981;1002;3582;46116832.73;6;55,43567252
powiat tarnowski;gmina Wierzchosławice;75;139.4;10455;356;569;563;581;2069;40790600.0;83;60,19388725
powiat tarnowski;gmina Wietrzychowice;48;76.4;3667;105;144;163;161;573;5667175.44;15;55,98677249
powiat tarnowski;gmina Wojnicz;79;164.6;13003;519;740;764;810;2833;34657937.3;72;67,9443033
powiat tarnowski;gmina Zakliczyn;122;101.1;12334;632;762;773;693;2860;36661790.96;207;64,31804921
powiat tarnowski;gmina Żabno;102;180.5;18411;720;945;925;919;3509;43182570.67;71;58,70546128
powiat tarnowski;gmina Szerzyny;82;91.1;7470;325;367;452;444;1588;21016805.47;42;59,21256741
powiat tatrzański;Zakopane;84;297.4;24982;871;1168;1172;1138;4349;64742272.6;154;67,61162079
powiat tatrzański;gmina Biały Dunajec;35;193.3;6766;335;365;435;367;1502;14897060.11;66;62,87961753
powiat tatrzański;gmina Bukowina Tatrzańska;132;102.7;13556;719;846;835;786;3186;38366607.31;141;54,75
powiat tatrzański;gmina Kościelisko;137;66.7;9138;410;534;544;503;1991;21149103.03;43;55,91872854
powiat tatrzański;gmina Poronin;84;141.3;11869;593;732;785;732;2842;31404205.08;104;48,41589267
powiat wadowicki;gmina Andrychów;100;415.9;41590;1698;2336;2479;2344;8857;120073878.83;218;65,62109806
powiat wadowicki;gmina Brzeźnica;66;163.7;10804;541;663;649;641;2494;27745884.46;102;59,91947664
